title,artist,cover,year,id,hasSleeve
So What,Miles Davis,http://cdn-images.deezer.com/images/cover/63bf5fe5f15f69bfeb097139fc34f3d7/400x400-000000-80-0-0.jpg,2001,SOBYBNV14607703ACA,true
Stolen Moments,Oliver Nelson,http://cdn-images.deezer.com/images/cover/99235a5fbe557590ccd62a2a152e4dbe/400x400-000000-80-0-0.jpg,1961,SOCNMPH12B0B8064AA,true
Theme for Maxine,Woody Shaw,http://cdn-images.deezer.com/images/cover/bb937f1e1d57f7542a64c74b13c47900/400x400-000000-80-0-0.jpg,1998,SOMLSGW131343841A7,true
Moanin' Mambo,Mingus Big Band,http://cdn-images.deezer.com/images/cover/dcd1565cf3dd663f7b7492e4da378855/400x400-000000-80-0-0.jpg,1996,SOVQLVX13134386AF9,true
Summertime,Oscar Peterson,http://cdn-images.deezer.com/images/cover/d6acdf4a975edf9556182d7c6a31e596/400x400-000000-80-0-0.jpg,1959,SOFNWTV137712739BC,true
Tea for Two,Lester Young,http://cdn-images.deezer.com/images/cover/8effbd8dc7a95f06c5aca8e6ecf3a78e/400x400-000000-80-0-0.jpg,1997,SOAPBMQ144C4A18CD4,true
Line Up,Lennie Tristano,http://cdn-images.deezer.com/images/cover/23b2766c2457be502e3b79f088cb8ba9/400x400-000000-80-0-0.jpg,1955,SOBPDRQ1313439BA51,true
I Remember Clifford,Lee Morgan,http://cdn-images.deezer.com/images/cover/efa706e1d3fc1363c7a5f07f9088a6cb/400x400-000000-80-0-0.jpg,1999,SOCRUWO12AB0184846,true
All The Things You Are,Oscar Pettiford,http://cdn-images.deezer.com/images/cover/8ce9fcf0ec333b06c38ad999c8dccb29/400x400-000000-80-0-0.jpg,1988,SOBHKVG1315CD41C41,true
Easy Living,Clifford Brown,http://cdn-images.deezer.com/images/cover/e8463630813b6c25536cdbef03134ae3/400x400-000000-80-0-0.jpg,1995,SOEVLRZ131343A28D6,true
Whiplash,Don Ellis,http://cdn-images.deezer.com/images/cover/34d87cf0631937bdb79675402054d3b2/400x400-000000-80-0-0.jpg,1973,SOOVZHR12A8C132FA8,true
Bumpin' On Sunset,Wes Montgomery,http://cdn-images.deezer.com/images/cover/75f43523fcd01b3046486674e09d3700/400x400-000000-80-0-0.jpg,1966,SOKXHZT1478B63887A,true
Footprints,Wayne Shorter,http://cdn-images.deezer.com/images/cover/40c4768d6ee25d5356b5efbd0f69c324/400x400-000000-80-0-0.jpg,2007,SOZLFJA144D13D0768,true
Blue Train,John Coltrane,http://cdn-images.deezer.com/images/cover/1d019d81f99c5213398791c8a0d6a2d1/400x400-000000-80-0-0.jpg,1957,SOACYSS145FEBAD8C6,true
All Blues,Ron Carter,http://cdn-images.deezer.com/images/cover/2d20ae4c4127ce6b8aa58f08becc9c05/400x400-000000-80-0-0.jpg,2001,SOBJQBM144E5CA4D89,true
My Funny Valentine,Chet Baker,http://cdn-images.deezer.com/images/cover/d2f8b4d15a624333903c57b7d4aa5ab5/400x400-000000-80-0-0.jpg,1954,SOAAQIZ144C486A932,true
Love for Sale,Cannonball Adderley,http://cdn-images.deezer.com/images/cover/b7df440f2e746476810b8fc36e1970df/400x400-000000-80-0-0.jpg,1959,SOPJQEU144AD705584,true
Lady Sings the Blues,Herbie Nichols,http://cdn-images.deezer.com/images/cover/17ea4a0526096e5a8fb20717386e99e9/400x400-000000-80-0-0.jpg,2010,SOAOYTH1376F78A4BA,true
Cleopatra's Dream,Bud Powell,http://cdn-images.deezer.com/images/cover/013ea0cecc3e8b370bd21b445ce5b8c5/400x400-000000-80-0-0.jpg,1958,SOKPATT12A6D4F412B,true
Bernie's Tune,Gerry Mulligan,http://cdn-images.deezer.com/images/cover/7bce5b21ad29df130368121a5c4bcf36/400x400-000000-80-0-0.jpg,1990,SOBJHOS137618BE4FD,true
